lat,lon,value
30.0,150,0.40972737133035469
30.0,150.1,0.41678521283393821
30.0,150.2,0.4312465312240526
30.0,150.29999999999998,0.43776429365597824
30.0,150.39999999999998,0.44177046642321083
30.0,150.49999999999997,0.43924546442783524
30.0,150.59999999999997,0.45061316892845216
30.0,150.69999999999996,0.45427731450285014
30.0,150.79999999999995,0.45765387306701144
30.0,150.89999999999995,0.4401688068226276
30.0,150.99999999999994,0.42761068574368971
30.0,151.09999999999994,0.42550243793986642
30.0,151.19999999999993,0.39075817236568983
30.0,151.29999999999993,0.36309787893094608
30.0,151.39999999999992,0.32754304679145163
30.0,151.49999999999991,0.29102909293280943
30.0,151.5999999999999,0.26317968809119019
30.0,151.6999999999999,0.2342900172120215
30.0,151.7999999999999,0.21597568946703827
30.0,151.8999999999999,0.21504754047564043
30.0,151.9999999999999,0.22244804373195626
30.0,152.09999999999988,0.22488291187660581
30.0,152.19999999999987,0.22327154836645413
30.0,152.29999999999987,0.21792556694065013
30.0,152.39999999999986,0.21882472347280585
30.0,152.49999999999986,0.22295871577929866
30.0,152.59999999999985,0.23096482291879716
30.0,152.69999999999985,0.23766022305327469
30.0,152.79999999999984,0.25456207833632932
30.0,152.89999999999984,0.26075751977183859
30.0,152.99999999999983,0.27213059547128082
30.0,153.09999999999982,0.27648968245417971
30.0,153.19999999999982,0.2820477869951854
30.0,153.2999999999998,0.27506112490839851
30.0,153.3999999999998,0.27641233487741634
30.0,153.4999999999998,0.2604526007707042
30.0,153.5999999999998,0.26673703713934532
30.0,153.6999999999998,0.26767350191882494
30.0,153.79999999999978,0.27851308464981572
30.0,153.89999999999978,0.28405709876430918
30.0,153.99999999999977,0.29786081469564235
30.0,154.09999999999977,0.31735505160006183
30.0,154.19999999999976,0.32288819438692196
30.0,154.29999999999976,0.32706844700313148
30.0,154.39999999999975,0.32215567377278531
30.0,154.49999999999974,0.33032251665360912
30.0,154.59999999999974,0.32508464420014782
30.0,154.69999999999973,0.32097485198654263
30.0,154.79999999999973,0.31798985225280163
30.0,154.89999999999972,0.33195103939141168
30.0,154.99999999999972,0.36901179370038667
30.0,155.0999999999997,0.38018123542580168
30.0,155.1999999999997,0.39066314902018073
30.0,155.2999999999997,0.39010438168205297
30.0,155.3999999999997,0.38329085298771903
30.0,155.4999999999997,0.35622025413366742
30.0,155.59999999999968,0.35035669385672163
30.0,155.69999999999968,0.33229428439935116
30.0,155.79999999999967,0.32561431982835931
30.0,155.89999999999966,0.30137531235067327
30.0,155.99999999999966,0.29634886715945591
30.0,156.09999999999965,0.27027784435844227
30.0,156.19999999999965,0.2743471261341825
30.0,156.29999999999964,0.30695197082894921
30.0,156.39999999999964,0.35546067848260604
30.0,156.49999999999963,0.36716102038424903
30.0,156.59999999999962,0.3830179670655125
30.0,156.69999999999962,0.38412841132567238
30.0,156.7999999999996,0.37449905746058892
30.0,156.8999999999996,0.36204132404713502
30.0,156.9999999999996,0.34716503875877036
30.0,157.0999999999996,0.35112399823788015
30.0,157.1999999999996,0.35038584499754299
30.0,157.29999999999959,0.35230436326548792
30.0,157.39999999999958,0.34998569488698528
30.0,157.49999999999957,0.36316673544495509
30.0,157.59999999999957,0.37334619500177857
30.0,157.69999999999956,0.39403877256293052
30.0,157.79999999999956,0.41837543061562504
30.0,157.89999999999955,0.44252894104171303
30.0,157.99999999999955,0.4687148834745945
30.0,158.09999999999954,0.48251351409272963
30.0,158.19999999999953,0.4907752337862748
30.0,158.29999999999953,0.47426915848153273
30.0,158.39999999999952,0.46590097789127782
30.0,158.49999999999952,0.45720575730939667
30.0,158.5999999999995,0.44808026193724726
30.0,158.6999999999995,0.45415932795823938
30.0,158.7999999999995,0.44730021232007416
30.0,158.8999999999995,0.43145563756987709
30.0,158.9999999999995,0.4252341261070034
30.0,159.09999999999948,0.41773055368649403
30.0,159.19999999999948,0.40561922275221424
30.0,159.29999999999947,0.39389050098202932
30.0,159.39999999999947,0.38021760005620642
30.0,159.49999999999946,0.38307477413666569
30.0,159.59999999999945,0.37973820650492118
30.0,159.69999999999945,0.37641292675416504
30.0,158.7,0.33823858843020438
30.0,160,0.30546820693004861
30.1,150,0.39912077547646985
30.1,150.1,0.42412988287461278
30.1,150.2,0.44010973197339609
30.1,150.29999999999998,0.44918544270889799
