lat,lon,value
30.0,150,-4.3950578689495128
30.0,150.1,-4.3878889835080361
30.0,150.2,-4.3888566796665502
30.0,150.29999999999998,-4.395541008801283
30.0,150.39999999999998,-4.4065572317121928
30.0,150.49999999999997,-4.4176198391204782
30.0,150.59999999999997,-4.4246263015278764
30.0,150.69999999999996,-4.4214466922766373
30.0,150.79999999999995,-4.4209794406897389
30.0,150.89999999999995,-4.4461357999691966
30.0,150.99999999999994,-4.44542297207565
30.0,151.09999999999994,-4.4311949554980004
30.0,151.19999999999993,-4.4228086316306099
30.0,151.29999999999993,-4.4216098052237793
30.0,151.39999999999992,-4.4258182861149589
30.0,151.49999999999991,-4.428352806643769
30.0,151.5999999999999,-4.4259764771347792
30.0,151.6999999999999,-4.4206424634373498
30.0,151.7999999999999,-4.4187077341818313
30.0,151.8999999999999,-4.4218258401961936
30.0,151.9999999999999,-4.4240519596742347
30.0,152.09999999999988,-4.4215998336033033
30.0,152.19999999999987,-4.4165403256583353
30.0,152.29999999999987,-4.4096941565963572
30.0,152.39999999999986,-4.4041981190137847
30.0,152.49999999999986,-4.4012321978922824
30.0,152.59999999999985,-4.4008894860203771
30.0,152.69999999999985,-4.4015447257148876
30.0,152.79999999999984,-4.4036347215446181
30.0,152.89999999999984,-4.4063383390777444
30.0,152.99999999999983,-4.4093056193963989
30.0,153.09999999999982,-4.4130509108526237
30.0,153.19999999999982,-4.417189038027451
30.0,153.2999999999998,-4.4205306570722129
30.0,153.3999999999998,-4.4228373353425461
30.0,153.4999999999998,-4.4255336078437022
30.0,153.5999999999998,-4.4279658064631313
30.0,153.6999999999998,-4.4289731370885352
30.0,153.79999999999978,-4.4292823566922799
30.0,153.89999999999978,-4.4299403437212526
30.0,153.99999999999977,-4.4269645929112329
30.0,154.09999999999977,-4.4188976412842145
30.0,154.19999999999976,-4.4066963965554695
30.0,154.29999999999976,-4.3965037620113794
30.0,154.39999999999975,-4.3927899212929242
30.0,154.49999999999974,-4.3921340530479096
30.0,154.59999999999974,-4.3919917728974225
30.0,154.69999999999973,-4.3929029848745706
30.0,154.79999999999973,-4.3918056075727137
30.0,154.89999999999972,-4.3866362023960068
30.0,154.99999999999972,-4.3824132844597319
30.0,155.0999999999997,-4.3822734765701004
30.0,155.1999999999997,-4.3835135113386094
30.0,155.2999999999997,-4.3810910288667113
30.0,155.3999999999997,-4.3785229243576094
30.0,155.4999999999997,-4.3770642466382821
30.0,155.59999999999968,-4.3729681681183887
30.0,155.69999999999968,-4.3670704980232795
30.0,155.79999999999967,-4.3610758586817431
30.0,155.89999999999966,-4.3559464318535417
30.0,155.99999999999966,-4.3550849215265268
30.0,156.09999999999965,-4.357306160815126
30.0,156.19999999999965,-4.3610382200052218
30.0,156.29999999999964,-4.3617817159553693
30.0,156.39999999999964,-4.360646420754108
30.0,156.49999999999963,-4.3638861117476937
30.0,156.59999999999962,-4.3663394966590587
30.0,156.69999999999962,-4.368213957018674
30.0,156.7999999999996,-4.3696832037871935
30.0,156.8999999999996,-4.3719289722652199
30.0,156.9999999999996,-4.3781802422955085
30.0,157.0999999999996,-4.384217129756367
30.0,157.1999999999996,-4.3879666261850421
30.0,157.29999999999959,-4.3929145128130127
30.0,157.39999999999958,-4.398923145483872
30.0,157.49999999999957,-4.4065533396449341
30.0,157.59999999999957,-4.4137923975531406
30.0,157.69999999999956,-4.4198316247503859
30.0,157.79999999999956,-4.4221011196883957
30.0,157.89999999999955,-4.4138651775061852
30.0,157.99999999999955,-4.3996669784690994
30.0,158.09999999999954,-4.3929580642393304
30.0,158.19999999999953,-4.3912591737080442
30.0,158.29999999999953,-4.3888692694801597
30.0,158.39999999999952,-4.3809153966343111
30.0,158.49999999999952,-4.3699928953283917
30.0,158.5999999999995,-4.3555487041657761
30.0,158.6999999999995,-4.3378832299694938
30.0,158.7999999999995,-4.3222878669928342
30.0,158.8999999999995,-4.3159740240113607
30.0,158.9999999999995,-4.3173651317343129
30.0,159.09999999999948,-4.3279838269033499
30.0,159.19999999999948,-4.3452174107025634
30.0,159.29999999999947,-4.3627600790574999
30.0,159.39999999999947,-4.3772107554068045
30.0,159.49999999999946,-4.3886550140764946
30.0,159.59999999999945,-4.40275349534532
30.0,159.69999999999945,-4.405340962514197
30.0,158.7,-4.4011176113688393
30.0,160,-4.3974000995678786
30.1,150,-4.3888307309607804
30.1,150.1,-4.3774876264946538
30.1,150.2,-4.3743437915967256
30.1,150.29999999999998,-4.3776664973062722
30.1,150.39999999999998,-4.3846878738918855
30.1,150.49999999999997,-4.3916286615873803
30.1,150.59999999999997,-4.3943639042633693
30.1,150.69999999999996,-4.3912777545371746
30.1,150.79999999999995,-4.4003391556480373
30.1,150.89999999999995,-4.4288070189710185
30.1,150.99999999999994,-4.421854707137836
30.1,151.09999999999994,-4.4157373934340551
30.1,151.19999999999993,-4.4120329820541908
30.1,151.29999999999993,-4.4121173416284529
30.1,151.39999999999992,-4.4154079500173973
30.1,151.49999999999991,-4.415948821004525
30.1,151.5999999999999,-4.4129272811689448
30.1,151.6999999999999,-4.4092122709584061
30.1,151.7999999999999,-4.4098203362326522
30.1,151.8999999999999,-4.4133861800158218
30.1,151.9999999999999,-4.4154462780428521
30.1,152.09999999999988,-4.4126153181107419
30.1,152.19999999999987,-4.4045591679086762
30.1,152.29999999999987,-4.3972408845732591
30.1,152.39999999999986,-4.3935801956698235
30.1,152.49999999999986,-4.3937855252836693
30.1,152.59999999999985,-4.3962010893380015
30.1,152.69999999999985,-4.3996806242252529
30.1,152.79999999999984,-4.4033942462925602
30.1,152.89999999999984,-4.4069050580798539
30.1,152.99999999999983,-4.409961406873963
30.1,153.09999999999982,-4.4136324835068921
30.1,153.19999999999982,-4.4173091436985956
30.1,153.2999999999998,-4.4204559936788526
30.1,153.3999999999998,-4.4227934589014239
30.1,153.4999999999998,-4.4252305305536508
30.1,153.5999999999998,-4.4268975681784468
30.1,153.6999999999998,-4.4259473002619076
30.1,153.79999999999978,-4.422801301409315
30.1,153.89999999999978,-4.4188633692400368
30.1,153.99999999999977,-4.4122050425566837
30.1,154.09999999999977,-4.4027962773523193
30.1,154.19999999999976,-4.3932945986441538
30.1,154.29999999999976,-4.387278487319028
30.1,154.39999999999975,-4.3880996733562636
30.1,154.49999999999974,-4.3902206870135725
30.1,154.59999999999974,-4.3899010829351646
30.1,154.69999999999973,-4.3887386546315907
30.1,154.79999999999973,-4.3878673640867625
30.1,154.89999999999972,-4.3855537703859815
30.1,154.99999999999972,-4.3829296690270514
30.1,155.0999999999997,-4.3846221684631903
30.1,155.1999999999997,-4.3880027776580706
30.1,155.2999999999997,-4.3879808074808686
30.1,155.3999999999997,-4.3866936342639056
30.1,155.4999999999997,-4.3847440902243981
30.1,155.59999999999968,-4.3807122746068377
30.1,155.69999999999968,-4.3747408856123116
30.1,155.79999999999967,-4.3679076801722001
30.1,155.89999999999966,-4.3607875879900124
30.1,155.99999999999966,-4.3586411653255404
30.1,156.09999999999965,-4.3641914876511478
